Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
0.000118250000000,0,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
0.000333500000000,1,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x02 0x10 0x78 0x00,0x113D,ACK
0.000450625000000,2,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.000575875000000,3,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.000708125000000,4,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0xC0 0x88 0x17 0x3B,0x0CC3,ACK
0.000829375000000,5,DATA,0x090,0x8,0x3C 0xFD 0x99 0x3C 0xC6 0xE6 0x81 0xBF,0x5CAC,ACK
0.000946625000000,6,DATA,0x090,0x8,0xE6 0x19 0x3A 0xBB 0x93 0xBF 0x42 0x3C,0x015E,ACK
0.001067875000000,7,DATA,0x090,0x8,0xAB 0x39 0xFF 0x3B 0x88 0x56 0x74 0x43,0x28D4,ACK
0.001181125000000,8,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.001306250000000,9,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.001438500000000,10,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.001563750000000,11,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.001689000000000,12,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.001821250000000,13,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.001946500000000,14,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0xDF 0x00 0x14 0x02,0x1035,ACK
0.002070750000000,15,DATA,0x090,0x8,0x77 0x05 0x33 0x00 0x33 0x00 0x25 0x00,0x0FF3,ACK
0.002197875000000,16,DATA,0x090,0x8,0x18 0x00 0x00 0x00 0x00 0x00 0x89 0x00,0x7A6E,ACK
0.002320125000000,17,DATA,0x090,0x8,0x66 0xCC 0x66 0xCC 0x55 0xAA 0x55 0xAA,0x03E5,ACK
0.002434375000000,18,DATA,0x090,0x8,0x01 0x10 0x0E 0x00 0xEB 0xFF 0xFF 0xFF,0x729F,ACK
0.002563625000000,19,DATA,0x090,0x8,0x48 0x00 0x00 0x00 0x23 0x00 0x00 0x00,0x71FF,ACK
0.002685875000000,20,DATA,0x090,0x6,0x32 0x03 0x66 0xCC 0x66 0xCC,0x44EF,ACK
0.003089125000000,21,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
0.003205375000000,22,DATA,0x090,0x8,0xEA 0xFF 0xFF 0xFF 0x49 0x00 0x00 0x00,0x10F9,ACK
0.003327625000000,23,DATA,0x090,0x6,0x20 0x00 0x00 0x00 0x33 0x03,0x7955,ACK
0.003438875000000,24,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
0.004742375000000,25,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
0.004858625000000,26,DATA,0x090,0x8,0xE8 0xFF 0xFF 0xFF 0x4C 0x00 0x00 0x00,0x1E18,ACK
0.004979875000000,27,DATA,0x090,0x6,0x18 0x00 0x00 0x00 0x34 0x03,0x65E3,ACK
0.005120000000000,28,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
0.006408625000000,29,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
0.006524875000000,30,DATA,0x090,0x8,0xE6 0xFF 0xFF 0xFF 0x4F 0x00 0x00 0x00,0x6054,ACK
0.006646000000000,31,DATA,0x090,0x6,0x14 0x00 0x00 0x00 0x35 0x03,0x6D8C,ACK
0.006755250000000,32,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
0.008093750000000,33,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
0.008210000000000,34,DATA,0x090,0x8,0xE5 0xFF 0xFF 0xFF 0x54 0x00 0x00 0x00,0x297E,ACK
0.008333250000000,35,DATA,0x090,0x6,0x0E 0x00 0x00 0x00 0x36 0x03,0x052C,ACK
0.008443500000000,36,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
0.009632000000000,37,DATA,0x7F8,0x8,0x55 0xAA 0x55 0xAA 0x03 0x10 0x3A 0x00,0x57D0,ACK
0.009749250000000,38,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
0.009865500000000,39,DATA,0x090,0x8,0xE4 0xFF 0xFF 0xFF 0x56 0x00 0x00 0x00,0x43BE,ACK
0.009987625000000,40,DATA,0x090,0x6,0x0C 0x00 0x00 0x00 0x37 0x03,0x7D52,ACK
0.010092000000000,41,DATA,0x7F8,0x8,0x00 0x00 0x00 0x00 0x74 0x86 0x1E 0x05,0x31D0,ACK
0.010213125000000,42,DATA,0x090,0x4,0x66 0xCC 0x66 0xCC,0x5148,ACK
0.010293375000000,43,DATA,0x7F8,0x8,0x15 0x60 0xFE 0x1E 0xB2 0x2C 0x02 0x00,0x2786,ACK
0.010412625000000,44,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x02 0x10 0x78 0x00,0x113D,ACK
0.010529875000000,45,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.010655000000000,46,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.010780375000000,47,DATA,0x7F8,0x8,0x9A 0x37 0x2C 0x00 0x2B 0x44 0x1F 0x00,0x195B,ACK
0.010899500000000,48,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x70 0xDD 0xE8 0x3A,0x1D93,ACK
0.011019750000000,49,DATA,0x090,0x8,0xB2 0x4A 0x9C 0x3C 0x06 0xF1 0x81 0xBF,0x0CC0,ACK
0.011136000000000,50,DATA,0x090,0x8,0xC9 0x9C 0x8B 0xBB 0x0B 0x5E 0x44 0x3C,0x6753,ACK
0.011248250000000,51,DATA,0x118,0x8,0x55 0xAA 0x55 0xAA 0x04 0x10 0x06 0x00,0x7106,ACK
0.011365375000000,52,DATA,0x090,0x8,0x97 0xE9 0xCE 0x3B 0x88 0x56 0x74 0x43,0x5B80,ACK
0.011479625000000,53,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.011604875000000,54,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.011730125000000,55,DATA,0x118,0x8,0x17 0x00 0x80 0x00 0x0E 0x01 0x66 0xCC,0x3CCD,ACK
0.011848375000000,56,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.011973625000000,57,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.012098875000000,58,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.012224125000000,59,DATA,0x118,0x2,0x66 0xCC,0x41CF,ACK
0.012289250000000,60,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x12C7,ACK
0.012414500000000,61,DATA,0x090,0x8,0x00 0x00 0x00 0x00 0xDF 0x00 0x14 0x02,0x1035,ACK
0.012538750000000,62,DATA,0x090,0x8,0x77 0x05 0x33 0x00 0x33 0x00 0x25 0x00,0x0FF3,ACK
0.012659000000000,63,DATA,0x7F8,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x1B02,ACK
0.012786250000000,64,DATA,0x090,0x8,0x18 0x00 0x00 0x00 0x00 0x00 0x8A 0x00,0x739D,ACK
0.012908375000000,65,DATA,0x090,0x8,0x66 0xCC 0x66 0xCC 0x55 0xAA 0x55 0xAA,0x03E5,ACK
0.013022625000000,66,DATA,0x090,0x8,0x01 0x10 0x0E 0x00 0xE2 0xFF 0xFF 0xFF,0x5E3E,ACK
0.013144875000000,67,DATA,0x7F8,0x8,0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00,0x1B02,ACK
0.013272125000000,68,DATA,0x090,0x8,0x57 0x00 0x00 0x00 0x0A 0x00 0x00 0x00,0x127B,ACK
0.013394375000000,69,DATA,0x090,0x6,0x38 0x03 0x66 0xCC 0x66 0xCC,0x4C4E,ACK
0.013491625000000,70,DATA,0x090,0x8,0x55 0xAA 0x55 0xAA 0x01 0x10 0x0E 0x00,0x677F,ACK
0.013607875000000,71,DATA,0x7F8,0x8,0x0F 0x27 0x0F 0x27 0x0F 0x27 0x0F 0x27,0x312E,ACK
0.013722000000000,72,DATA,0x090,0x8,0xDF 0xFF 0xFF 0xFF 0x58 0x00 0x00 0x00,0x3085,ACK
0.013844250000000,73,DATA,0x090,0x8,0x08 0x00 0x00 0x00 0x39 0x03 0x66 0xCC,0x3969,ACK
0.013963500000000,74,DATA,0x090,0x2,0x66 0xCC,0x1021,ACK
0.014028750000000,75,DATA,0x7F8,0x8,0x00 0x00 0x00 0x00 0x5C 0x00 0x00 0x00,0x2FF3,ACK
0.014154875000000,76,DATA,0x108,0x8,0x55 0xAA 0x55 0xAA 0x09 0x10 0xB8 0x00,0x5AD4,ACK
